id,name,slug,description,parent_id,image,status,,,
1,Công Nghệ Thông Tin,cong-nghe-thong-tin,"Ngành công nghệ thông tin tập trung vào phát triển và quản lý các hệ thống, phần mềm, ứng dụng và dịch vụ công nghệ thông tin.",,,FALSE,,,
2,Kinh doanh,kinh-doanh,"Ngành kinh doanh bao gồm các hoạt động liên quan đến việc tạo ra và quản lý các sản phẩm và dịch vụ, xây dựng chiến lược kinh doanh và tương tác với khách hàng.",,,FALSE,,,
3,Truyền Thông,truyen-thong,"Ngành truyền thông liên quan đến việc truyền tải thông tin, tin tức và quảng cáo thông qua các phương tiện như truyền hình, radio, báo chí, mạng và các phương tiện truyền thông khác.",,,FALSE,,,
4,Khách Sạn,khach-san,"Ngành khách sạn tập trung vào cung cấp dịch vụ lưu trú và tiện nghi cho du khách, bao gồm các khách sạn, khu nghỉ dưỡng và nhà nghỉ.",,,FALSE,,,
5,Du lịch,du-lich,"Ngành du lịch liên quan đến việc tổ chức các chuyến du lịch, hành trình và hoạt động giải trí cho khách du lịch.",,,FALSE,,,
6,Xây dựng,Xay-dung,"Ngành xây dựng bao gồm việc thiết kế, xây dựng và bảo trì cơ sở hạ tầng, các công trình dân dụng và công nghiệp.",,,FALSE,,,
7,Vận tải,Van-tai,"Ngành vận tải chuyên về việc di chuyển hàng hóa và người thông qua các phương tiện vận tải như ôtô, xe hơi, tàu, máy bay và xe lửa.",,,FALSE,,,
8,Thực phẩm,Thuc-pham,"Ngành thực phẩm liên quan đến sản xuất, chế biến và phân phối thực phẩm và đồ uống cho tiêu dùng.",,,FALSE,,,
9,Y tế,Y-te,"Ngành y tế tập trung vào việc cung cấp dịch vụ y tế, chăm sóc sức khỏe và điều trị bệnh nhân.",,,FALSE,,,
10,Dược,Duoc,"Ngành dược sản xuất, phân phối và bán các sản phẩm dược phẩm và thuốc để điều trị và chăm sóc sức khỏe con người.",,,FALSE,,,
11,Ngân hàng,Ngan-hang,"Ngành ngân hàng cung cấp dịch vụ tài chính như tiết kiệm, vay mượn, đầu tư và giao dịch tài chính cho cá nhân và doanh nghiệp.",,,FALSE,,,
12,Nông nghiệp,Nong-nghiep,"Ngành nông nghiệp liên quan đến việc trồng trọt, chăn nuôi và sản xuất thực phẩm từ động vật và cây trồng.",,,FALSE,,,
13,Lâm Nghiệp,Lam-nghiep,Ngành lâm nghiệp tập trung vào việc quản lý và sử dụng tài nguyên rừng để sản xuất gỗ và các sản phẩm lâm nghiệp khác.,,,FALSE,,,
14,Thú Y,Thu-y,"Ngành thú y liên quan đến chăm sóc và điều trị các loài động vật, đặc biệt là về mặt sức khỏe và y tế.",,,FALSE,,,
15,Spa,Spa,"Ngành spa cung cấp dịch vụ thư giãn và chăm sóc sức khỏe như massage, xông hơi và liệu pháp làm đẹp.",,,FALSE,,,
16,Thiết kế đồ họa,Thiet-ke-do-hoa,"Ngành thiết kế đồ họa tập trung vào việc tạo ra các sản phẩm thiết kế, đồ họa và thị giác, bao gồm các loại hình nghệ thuật số và in ấn.",,,TRUE,,,
17,Thư ký,Thu-ky,"Ngành thư ký liên quan đến hỗ trợ quản lý, tổ chức, và lập kế hoạch trong môi trường văn phòng và doanh nghiệp.",,,TRUE,,,
18,Tin mới,Tin-moi,"Loại tin này thông báo về các sự kiện, thông tin, hoặc bài viết mới nhất, thường là những tin tức mới và quan trọng nhất trong thời gian gần đây.",,,TRUE,,,
19,Tin hot,Tin-hot,"Tin hot là những tin tức đang được quan tâm và chia sẻ nhiều nhất tại một thời điểm cụ thể, thường bởi vì chúng chứa thông tin quan trọng hoặc thú vị.",,,TRUE,,,
20,Tin công nghệ,Tin-cong-nghe,"Loại tin này tập trung vào việc báo cáo về các sự kiện, xu hướng và phát triển trong lĩnh vực công nghệ thông tin và công nghệ số.",,,TRUE,,,
21,Tin kinh doanh,Tin-kinh-doanh,"Tin kinh doanh thông báo về các diễn biến, sự kiện và thông tin liên quan đến thế giới kinh doanh, bao gồm doanh nghiệp, thị trường tài chính, và nền kinh tế.",,,TRUE,,,
22,Tin khác,Tin-khac,Loại tin này bao gồm thông tin không thuộc vào các danh mục trước đó hoặc có thể là các tin tức đa dạng và đặc biệt không rõ ràng thuộc về loại tin cụ thể nào.,,,TRUE,,,
