job_id,min_salary,max_salary,fixed_salary
1,4,10,7
2,4,8,6
3,3,9,6
4,5,11,8
5,6,10,8
6,10,16,13
7,8,12,10
8,8,20,14
9,8,16,12
10,6,10,8
11,6,10,8
12,7,13,10
13,8,16,12
14,4,8,6
15,6,10,8
16,7,15,11
17,7,13,10
18,8,12,10
19,4,8,6
20,12,16,14
21,4,10,7
22,4,8,6
23,4,8,6
24,5,11,8
25,6,10,8
26,10,16,13
27,8,12,10
28,8,20,14
29,8,16,12
30,6,10,8
31,5,11,8
32,7,13,10
33,9,15,12
34,3,9,6
35,6,10,8
36,7,15,11
37,7,13,10
38,8,12,10
39,4,8,6
40,12,16,14
41,5,11,8
42,8,12,10
43,9,15,12
44,3,9,6
45,6,10,8
46,7,15,11
47,8,12,10
48,8,12,10
49,4,8,6
50,12,16,14
