id,name,slug,,
1,Lập trình PHP,lap-trinh-php,,
2,Phát triển ứng dụng web PHP,phat-trien-ung-dung-web-php,,
3,Quản trị hệ thống Linux,quan-tri-he-thong-linux,,
4,Phát triển và quản lý cơ sở dữ liệu MySQL,phat-trien-va-quan-ly-co-so-du-lieu-mysql,,
5,Xây dựng và quản lý hệ thống e-commerce,xay-dung-va-quan-ly-he-thong-e-commerce,,
6,Phân tích và thiết kế hệ thống phần mềm,phan-tich-va-thiet-ke-he-thong-phan-mem,,
7,Kiểm thử phần mềm,kiem-thu-phan-mem,,
8,Phát triển ứng dụng di động (Mobile App) sử dụng PHP,phat-trien-ung-dung-di-dong-mobile-app-su-dung-php,,
9,Quản lý dự án phần mềm,quan-ly-du-an-phan-mem,,
10,Lập trình ứng dụng máy tính sử dụng PHP,lap-trinh-ung-dung-may-tinh-su-dung-php,,
11,Quản lý nội dung trang web,quan-ly-noi-dung-trang-web,,
12,Tối ưu hóa trang web cho công cụ tìm kiếm (SEO),toi-uu-hoa-trang-web-cho-cong-cu-tim-kiem-seo,,
13,Quản lý quảng cáo trực tuyến sử dụng PHP,quan-ly-quang-cao-truc-tuyen-su-dung-php,,
14,Phân tích dữ liệu và thống kê trang web,phan-tich-du-lieu-va-thong-ke-trang-web,,
15,Xây dựng và quản lý trang web thương mại điện tử,xay-dung-va-quan-ly-trang-web-thuong-mai-dien-tu,,
16,Hỗ trợ kỹ thuật trực tuyến,ho-tro-ky-thuat-truc-tuyen,,
17,Giải quyết sự cố và vấn đề liên quan đến ứng dụng PHP,giai-quyet-su-co-va-van-de-lien-quan-den-ung-dung-php,,
18,Ghi lại yêu cầu và phản hồi từ khách hàng,ghi-lai-yeu-cau-va-phan-hoi-tu-khach-hang,,
19,Đào tạo người dùng cuối,dao-tao-nguoi-dung-cuoi,,
20,Giảng dạy lập trình PHP,giang-day-lap-trinh-php,,
21,Phát triển nội dung đào tạo trực tuyến,phat-trien-noi-dung-dao-tao-truc-tuyen,,
22,Thiết kế các khóa học trực tuyến về PHP,thiet-ke-cac-khoa-hoc-truc-tuyen-ve-php,,
23,Quản lý hệ thống quản trị nội dung (CMS) sử dụng PHP,quan-ly-he-thong-quan-tri-noi-dung-cms-su-dung-php,,
24,Phát triển sản phẩm và ứng dụng dựa trên PHP,phat-trien-san-pham-va-ung-dung-dua-tren-php,,
25,Quản lý công ty công nghệ sử dụng PHP,quan-ly-cong-ty-cong-nghe-su-dung-php,,
26,Tiếp thị và quảng bá sản phẩm trực tuyến,tiep-thi-va-quang-ba-san-pham-truc-tuyen,,
27,Tạo và quản lý cửa hàng trực tuyến sử dụng PHP,tao-va-quan-ly-cua-hang-truc-tuyen-su-dung-php,,
28,Kế toán viên,ke-toan-vien,,
29,Kỹ sư tài chính,ky-su-tai-chinh,,
30,Chuyên viên thuế,chuyen-vien-thue,,
31,Quản lý tài chính,quan-ly-tai-chinh,,
32,Kiểm toán viên,kiem-toan-vien,,
33,Kiến trúc sư,kien-truc-su,,
34,Kỹ sư xây dựng,ky-su-xay-dung,,
35,Quản lý dự án xây dựng,quan-ly-du-an-xay-dung,,
36,Thiết kế nội thất,thiet-ke-noi-that,,
37,Quản lý hợp đồng xây dựng,quan-ly-hop-dong-xay-dung,,
38,Sử dụng phần mềm thiết kế,su-dung-phan-mem-thiet-ke,,
39,Khả năng nắm bắt yêu cầu khách hàng,khang-nang-nam-bat-yeu-cau-khach-hang,,
40,Khả năng làm việc độc lập và theo nhóm,kha-nang-lam-viec-doc-lap-va-theo-nhom,,
41,Kỹ năng nghệ thuật và cắt dán tay,ky-nang-nghe-thuat-va-cat-dan-tay,,
42,Khả năng quản lý dự án,kha-nang-quan-ly-du-an,,
43,Khả năng phản hồi và đánh giá,kha-nang-phan-hoi-va-danh-gia,,
44,Kỹ năng quản lý thời gian thực tế,ky-nang-quan-ly-thoi-gian-thuc-te,,
45,Kỹ năng giao tiếp,ky-nang-giao-tiep,,
46,Kỹ năng quản lý thời gian,ky-nang-quan-ly-thoi-gian,,
47,Kỹ năng sáng tạo ,ky-nang-sang-tao,,
48,Kiến thức về phòng cháy chữa cháy,kien-thuc-ve-phong-chay-chua-chay,,
49,Kỹ năng tin học văn phòng,ky-nang-tin-hoc-van-phong,,
